Index,Date,Open,High,Low,Close,Adj Close,Volume,price_for_return,return_1d,abs_return_1d,volatility_20,return_z_20,intraday_range,open_close_return,volume_z_20,conflict_count,total_deaths_sum,total_deaths_max,total_deaths_mean,log_deaths_sum,death_uncertainty_sum,conflict_duration_mean,is_conflict_day,is_high_intensity_conflict_day,is_conflict_window_3d,is_high_intensity_conflict_window_3d,dbscan_cluster,is_market_anomaly
399001.SZ,2015-09-21,9732.120117,10176.73047,9701.330078,10176.73047,10176.61621,1180700.0,10176.61621,0.03308986982940154,0.03308986982940154,0.04219101279307558,1.0143984343146195,0.04671445248564194,0.04568484026654765,-0.6204226127249084,169.0,1091.0,117.0,6.455621301775148,227.50419811762185,141.0,0.14792899408284024,1,1,1,1,-1,1
399001.SZ,2015-09-22,10200.54981,10357.41992,10121.74023,10238.69043,10238.57617,1342100.0,10238.57617,0.006088463858852755,0.006088463858852755,0.04097914282380379,0.3118878450126586,0.02301853851440265,0.003739074923452594,0.0324736899389922,55.0,218.0,32.0,3.963636363636364,67.774762935891,27.0,0.18181818181818182,1,0,1,1,-1,1
399001.SZ,2015-09-23,10071.33008,10250.4502,10040.9502,10132.29981,10132.18652,1167000.0,10132.18652,-0.010391059091959809,0.010391059091959809,0.03739133211334192,-0.18970586768263364,0.020676450946826058,0.006053791258522698,-0.6580649042182093,36.0,101.0,10.0,2.8055555555555554,40.123708740916435,45.0,0.0,1,0,1,1,-1,1
399001.SZ,2015-09-25,10184.87988,10249.24023,9835.839844,9904.759766,9904.648438,1111900.0,9904.648438,-0.032553209425591256,0.032553209425591256,0.034129540403279056,-0.9707717712734276,0.04173754798365489,-0.027503526531527555,-0.7261018757495071,41.0,180.0,30.0,4.390243902439025,52.185087929115895,82.0,0.07317073170731707,1,0,1,0,-1,1
399001.SZ,2015-09-28,9919.55957,10124.30957,9796.929688,10115.54981,10115.43652,769600.0,10115.43652,0.021281732846901713,0.021281732846901713,0.03348811163937304,0.6399279102971775,0.032364022534529864,0.01975795786263936,-1.8448300638454684,131.0,1337.0,367.0,10.206106870229007,193.51263810743342,361.0,0.48854961832061067,1,1,1,1,-1,1
399001.SZ,2015-09-29,9962.580078,10070.25,9873.780273,9949.919922,9949.808594,856000.0,9949.808594,-0.016373779388810683,0.016373779388810683,0.031188320522282546,-0.4086872653738475,0.019745860121506184,-0.00127077081447593,-1.4331262827069842,52.0,341.0,37.0,6.5576923076923075,78.39709844001676,37.0,0.19230769230769232,1,0,1,1,-1,1
399001.SZ,2015-10-08,10332.24023,10477.20996,10265.0,10394.73047,10394.61426,1159600.0,10394.61426,0.04069582945814365,0.04069582945814365,0.031188828100739283,1.2537203281841047,0.020415147907149163,0.0060480823721615114,0.05397136369112767,385.0,2222.0,108.0,5.771428571428571,501.1296022582902,728.0,1.0155844155844156,1,1,1,1,-1,1
399001.SZ,2015-10-12,10599.87988,11069.67969,10593.54004,10961.36035,10961.23731,1724200.0,10961.23731,0.039958362756120636,0.039958362756120636,0.032156216086151934,1.082948811614186,0.043438007217781224,0.03410231758211211,2.2265490273046056,176.0,798.0,102.0,4.534090909090909,214.84982193772782,133.0,0.4147727272727273,1,1,1,1,-1,1
399001.SZ,2015-10-13,10885.11035,11073.0,10850.71973,11042.12988,11042.00684,1402100.0,11042.00684,0.007368650793310838,0.007368650793310838,0.03149721989931689,0.11140962164427338,0.020130198830807383,0.014425166576285519,0.8940009112019264,75.0,638.0,64.0,8.506666666666666,126.48021637266243,121.0,0.37333333333333335,1,1,1,1,-1,1
399001.SZ,2015-10-14,10997.08008,11095.33984,10880.11035,10901.48047,10901.3584,1420800.0,10901.3584,-0.01273757950325638,0.01273757950325638,0.03112158252571842,-0.46614876421354745,0.01974314319897137,-0.00869318121760911,1.103510255471826,62.0,216.0,25.0,3.4838709677419355,79.43963609918137,12.0,0.24193548387096775,1,0,1,1,-1,1
